タイムスタンプ,student_id,video_id,clear,interesting,like
2025/12/15 11:51:51,35,A,3,2,3
2025/12/15 11:51:51,35,B,2,3,4
2025/12/15 11:51:51,35,C,4,4,4
2025/12/15 11:51:51,35,D,2,2,2
2025/12/15 11:51:51,35,E,5,3,4
2025/12/15 11:51:52,3,A,4,3,4
2025/12/15 11:51:52,3,B,4,4,4
2025/12/15 11:51:52,3,C,2,4,4
2025/12/15 11:51:52,3,D,4,4,3
2025/12/15 11:51:52,3,E,4,4,4
2025/12/15 11:51:52,12,A,2,2,3
2025/12/15 11:51:52,12,B,1,3,2
2025/12/15 11:51:52,12,C,4,3,5
2025/12/15 11:51:52,12,D,1,3,4
2025/12/15 11:51:52,12,E,3,4,5
2025/12/15 11:51:52,25,A,2,5,3
2025/12/15 11:51:52,25,B,2,3,4
2025/12/15 11:51:52,25,C,3,4,5
2025/12/15 11:51:52,25,D,1,1,1
2025/12/15 11:51:52,25,E,4,4,5
2025/12/15 11:51:52,28,A,3,2,3
2025/12/15 11:51:52,28,B,4,2,4
2025/12/15 11:51:52,28,C,5,3,4
2025/12/15 11:51:52,28,D,2,2,2
2025/12/15 11:51:52,28,E,5,4,4
2025/12/15 11:51:52,38,A,4,5,5
2025/12/15 11:51:52,38,B,3,5,4
2025/12/15 11:51:52,38,C,4,5,5
2025/12/15 11:51:52,38,D,3,4,3
2025/12/15 11:51:52,38,E,4,5,3
2025/12/15 11:51:53,8,A,2,1,1
2025/12/15 11:51:53,8,B,3,2,1
2025/12/15 11:51:53,8,C,4,4,4
2025/12/15 11:51:53,8,D,2,5,4
2025/12/15 11:51:53,8,E,4,5,3
2025/12/15 11:51:53,16,A,1,3,2
2025/12/15 11:51:53,16,B,4,3,2
2025/12/15 11:51:53,16,C,3,4,2
2025/12/15 11:51:53,16,D,2,2,2
2025/12/15 11:51:53,16,E,4,4,3
2025/12/15 11:51:53,18,A,4,1,1
2025/12/15 11:51:53,18,B,4,1,1
2025/12/15 11:51:53,18,C,4,4,4
2025/12/15 11:51:53,18,D,4,5,5
2025/12/15 11:51:53,18,E,5,2,4
2025/12/15 11:51:54,10,A,1,1,1
2025/12/15 11:51:54,10,B,1,1,1
2025/12/15 11:51:54,10,C,4,1,1
2025/12/15 11:51:54,10,D,1,1,1
2025/12/15 11:51:54,10,E,1,4,1
2025/12/15 11:51:54,21,A,2,4,4
2025/12/15 11:51:54,21,B,2,2,2
2025/12/15 11:51:54,21,C,4,4,4
2025/12/15 11:51:54,21,D,2,2,2
2025/12/15 11:51:54,21,E,2,4,4
2025/12/15 11:51:54,26,A,2,1,2
2025/12/15 11:51:54,26,B,2,3,4
2025/12/15 11:51:54,26,C,3,4,5
2025/12/15 11:51:54,26,D,1,1,1
2025/12/15 11:51:54,26,E,5,4,4
2025/12/15 11:51:55,30,A,4,2,3
2025/12/15 11:51:55,30,B,4,4,4
2025/12/15 11:51:55,30,C,4,4,5
2025/12/15 11:51:55,30,D,3,3,2
2025/12/15 11:51:55,30,E,4,4,3
2025/12/15 11:51:55,31,A,4,2,2
2025/12/15 11:51:55,31,B,3,2,2
2025/12/15 11:51:55,31,C,3,4,3
2025/12/15 11:51:55,31,D,2,2,2
2025/12/15 11:51:55,31,E,2,2,2
2025/12/15 11:51:56,13,A,3,2,2
2025/12/15 11:51:56,13,B,3,2,3
2025/12/15 11:51:56,13,C,3,2,3
2025/12/15 11:51:56,13,D,3,2,2
2025/12/15 11:51:56,13,E,3,3,3
2025/12/15 11:51:56,15,A,1,3,4
2025/12/15 11:51:56,15,B,3,4,4
2025/12/15 11:51:56,15,C,2,4,4
2025/12/15 11:51:56,15,D,2,4,4
2025/12/15 11:51:56,15,E,4,3,4
2025/12/15 11:51:56,40,A,2,1,4
2025/12/15 11:51:56,40,B,2,1,2
2025/12/15 11:51:56,40,C,4,4,4
2025/12/15 11:51:56,40,D,2,2,4
2025/12/15 11:51:56,40,E,4,4,2
2025/12/15 11:51:58,20,A,3,2,2
2025/12/15 11:51:58,20,B,4,3,4
2025/12/15 11:51:58,20,C,4,4,5
2025/12/15 11:51:58,20,D,2,5,3
2025/12/15 11:51:58,20,E,4,5,5
2025/12/15 11:51:59,2,A,1,1,1
2025/12/15 11:51:59,2,B,1,1,1
2025/12/15 11:51:59,2,C,4,4,4
2025/12/15 11:51:59,2,D,4,1,1
2025/12/15 11:51:59,2,E,4,4,4
2025/12/15 11:52:01,1,A,3,2,3
2025/12/15 11:52:01,1,B,4,3,3
2025/12/15 11:52:01,1,C,2,4,3
2025/12/15 11:52:01,1,D,4,3,3
2025/12/15 11:52:01,1,E,2,4,4
2025/12/15 11:52:05,23,A,4,3,3
2025/12/15 11:52:05,23,B,5,4,4
2025/12/15 11:52:05,23,C,2,4,3
2025/12/15 11:52:05,23,D,4,3,3
2025/12/15 11:52:05,23,E,2,2,1
2025/12/15 11:52:05,27,A,3,2,2
2025/12/15 11:52:05,27,B,4,2,3
2025/12/15 11:52:05,27,C,4,4,4
2025/12/15 11:52:05,27,D,4,2,2
2025/12/15 11:52:05,27,E,4,2,3
